日期,平台,内容标题,内容形式,状态,发布链接,浏览量,点赞数,收藏数,评论数,分享数,关注数,私信数,小程序新增用户数,小程序访问人数,主要反馈/备注,下一步动作
2026/5/31,小红书,玩洛克王国世界后，我做了个远行商人记录本,图文,已发布,,19,,,,,,,,,首发小红书流量较低,继续同步但不单独重做
2026/5/31,抖音,远行商人商品太容易错过，我做了个记录本,图文轮播,已发布,,2000,20,,,,,,,10+,新号首发带来十几位小程序访问,第二期优先发日历模式
2026/6/1,小红书,远行商人支持日历模式📆查看历史商品啦,图文,已发布,,378,5,,,,,,,,较第一篇19浏览明显提高;故事化内容更适合小红书,继续同步并尝试小故事内容
2026/6/1,抖音,远行商人历史能按日历看了,图文轮播,已发布,,790,9,,,,,,,21,播放低于第一篇但点赞率约1.14%;小程序今日21访问,第三篇回到提醒强痛点
2026/6/2,抖音,这一轮远行商人有国王球,图文轮播,测试,,3000,12,,,,,,,,实时有用的商品更新后续涨到3000播放;说明实时商品更新有流量,"实时商品可作为补充内容,但要包装成有用信息"
2026/6/2,抖音,远行商人关注提醒图文,图文轮播,已发布,,3000,30,,,,,,,,提醒关注内容表现稳定;点赞率约1%,继续围绕提醒和稀有商品做内容
2026/6/2,小红书,远行商人关注提醒图文,图文,已发布,,300,,,,,,,,,小红书同步有300浏览,继续同步抖音主线内容
2026/6/2,小程序,当日用户增长,日汇总,记录,,,,,,,,,18,,6月2日新增18个用户,观察内容发布后次日是否继续带来使用
2026/6/3,小程序,当日使用情况,日汇总,记录,,,,,,,,,,100,"当日100个用户使用小程序,主要受6月2日视频在6月3日继续浏览影响",后续看爆款内容是否能转化到小程序
2026/6/3,抖音,远行商人小故事图文,图文轮播,已发布,,100000,4000,,,,,,,,"小故事图文爆了;但文案未加小程序,引流较少","故事内容适合做品牌和涨粉,后续可轻量加产品承接"
2026/6/3,小红书,远行商人小故事图文,图文,已发布,,10000,1000,,,,,,,,小红书同样爆了;故事化内容非常适合平台,保留远行商人小故事系列
2026/6/4,小程序,晚间使用情况,日汇总,记录,,,,,,,,,,90+,"截至6月4日晚上,小程序当时使用人数九十多个,和6月3日接近;故事爆款引流有限",下一条故事内容可增加温和承接:小程序名或评论置顶
